12823,14360,"Ernie Caceres",NULL,"Male","1911-11-22T00:00:00","USA","Rockport, Texas","Caceres","Ernie ","1911-11-22T00:00:00"
18721,20803,"Alexandre Caçote",NULL,"Male",NULL,"Brazil",NULL,"Caçote","Alexandre",NULL
667,765,"Ozzie Cadena",NULL,"Male","1924-09-26T00:00:00","Northeast US","Oklahoma City, OK","Cadena","Ozzie",NULL
704,806,"Irving Caesar",NULL,"Male","1895-07-04T00:00:00","Northeast US","New York, NY","Caesar","Irving",NULL
1239,1427,"Sammy Cahn",NULL,"Male","1913-06-18T00:00:00","Northeast","New York, NY","Cahn","Sammy",NULL
10622,11924,"Eddie Caine",NULL,"Male",NULL,NULL,NULL,"Caine","Eddie",NULL
15471,17257,"Giorgio Calabrese",NULL,"Male","1929-03-28T00:00:00","Western Europe","Genova, Italy","Calabrese","Giorgio","1929-03-28T00:00:00"
17457,19426,"Luca Calabrese",NULL,"Male","1964-01-22T00:00:00","Italy",NULL,"Calabrese","Luca","1964-01-22T00:00:00"
17519,19491,"Happy Caldwell","Albert W. Caldwell, Cauldwell (the latter is incorrect)","Male","1903-07-25T00:00:00","Midwest US","Chicago, Illinois","Caldwell","Happy","1903-07-25T00:00:00"
12897,14442,"Anne Caldwell","Anne Caldwell O’Dea","Female",NULL,NULL,"Boston, MA","Caldwell","Anne",NULL
20745,24521,"George Caldwell","Sabu","Male",NULL,NULL,NULL,"Caldwell","George",NULL
18279,20293,"Hadley Caliman",NULL,"Male","2013-01-12T00:00:00","Western US","Los Angeles, California (?)","Caliman","Hadley","2013-01-12T00:00:00"
18061,20069,"Joaquim Antônio Callado","Joaquim Antônio da Silva Callado, Jr.","Male","1848-07-11T00:00:00",NULL,"Rio de Janeiro, Brazil","Callado","Joaquim Antônio","1880-03-20T00:00:00"
5602,6168,"Red Callender",NULL,"Male","1916-03-06T00:00:00","USA","Haynesville, Virginia","Callender","Red","1916-03-06T00:00:00"
1278,1468,"Cab Calloway",NULL,"Male","1907-12-25T00:00:00","Northeast US","Rochester, NY","Calloway","Cab",NULL
13511,15115,"Mike Caluccio",NULL,"Male",NULL,NULL,NULL,"Caluccio","Mike",NULL
6163,6959,"Cesar Camargo Mariano",NULL,"Male","1943-09-19T00:00:00","South America","Sao Paolo, Brazil","Camargo Mariano","Cesar","1943-09-19T00:00:00"
14514,16197,"Robert Cambier",NULL,"Male",NULL,NULL,NULL,"Cambier","Robert",NULL
1276,1466,"Candido Camero",NULL,"Male","1921-04-22T00:00:00","Caribean","Havana, Cuba","Camero","Candido",NULL
